Key,Type,Desc,Chinese(Simplified),Chinese(Traditional),English,French,Japanese,Korean,Spanish,German,Portuguese(Brazil),Russian,Italian
6/name/1,Text,,里格斯,里格斯,Riggs,Riggs,リッグス,리그스,Riggs,Riggs,Riggs,Риггс,Riggs
6/name/2,Text,,威尔,威爾,Will,Will,ウィル,윌,Will,Will,Will,Уилл,Will
6/name/3,Text,,车夫,車夫,Coachman,Cocher,御者,마부,Cochero,Kutscher,Cocheiro,Кучер,Cocchiere
6/name/4,Text,妻子,艾拉,艾拉,Eira,Eira,アイラ,에이라,Eira,Eira,Eira,Эйра,Eira
6/name/5,Text,,？？？,？？？,???,???,？？？,???,???,???,???,???,???
6/name/6,Text,,流浪汉,流浪漢,Tramp,Vagabond,浮浪者,부랑자,Vagabundo,Landstreicher,Vagabundo,Бродяга,Vagabondo
6/name/7,Text,,,,,,,,,,,,
6/name/8,Text,,,,,,,,,,,,
6/guide/1,Text,Guide,点击拉开窗帘，看看窗外是什么状况。,點擊拉開窗簾，看看窗外是什麼狀況。,Tap to open the curtains and see what's happening outside.,Touche pour ouvrir les rideaux et voir ce qu'il se passe dehors.,カーテンを開けて、外の様子を見てみよう。,커튼을 열고 창밖의 상황을 살펴보세요.,Toca para abrir las cortinas y ver qué ocurre fuera.,"Tippe, um die Vorhänge zu öffnen und nach draußen zu sehen.",Toque para abrir as cortinas e ver o que está acontecendo lá fora.,"Нажми, чтобы открыть шторы и посмотреть, что снаружи.",Tocca per aprire le tende e vedere cosa succede fuori.
6/guide/2,Text,Guide,车夫不见了？快看看怎么回事！,車夫不見了？快看看怎麼回事！,"The Coachman is gone? Quick, see what's going on!","Le Cocher a disparu ? Vite, regarde ce qu'il se passe !",御者がいない？どういうことか確認しよう！,마부가 사라졌다고요? 어서 무슨 일인지 확인해 보세요!,"¿El cochero ha desaparecido? ¡Rápido, mira qué pasa!","Der Kutscher ist weg? Sieh schnell nach, was los ist!","O cocheiro sumiu? Rápido, veja o que está acontecendo!","Кучер исчез? Скорее посмотри, в чем дело!","Il cocchiere è sparito? Presto, guarda cosa succede!"
6/guide/3,Text,Guide,点击下方返回车内,點擊下方返回車內,Tap below to return inside the carriage.,Touche en bas pour retourner dans la voiture.,下をタップして車内に戻ろう。,아래를 탭 하여 마차 안으로 돌아가세요.,Toca abajo para volver al interior del carruaje.,"Tippe unten, um in die Kutsche zurückzukehren.",Toque abaixo para voltar para dentro da carruagem.,"Нажми внизу, чтобы вернуться в карету.",Tocca in basso per tornare nella carrozza.
